epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3939.68,0.54808,0.28556,0.91186,0.99816,1,0.99439,0.88893,0.5142,0.23081,0.89398,0.000720019,0.000720019,0.000720019
44,4007.89,0.55305,0.28021,0.91315,0.99783,1,0.99461,0.89084,0.51082,0.22874,0.8844,0.000715519,0.000715519,0.000715519
45,4073.88,0.5423,0.27781,0.91056,0.99822,1,0.99468,0.89397,0.50591,0.22425,0.88703,0.00071102,0.00071102,0.00071102
46,4140.92,0.54445,0.27763,0.91129,0.9982,1,0.9947,0.89175,0.52143,0.22795,0.88613,0.00070652,0.00070652,0.00070652
47,4208.05,0.55592,0.28158,0.91816,0.9982,1,0.99447,0.88787,0.51188,0.2233,0.88804,0.000702021,0.000702021,0.000702021
48,4274.89,0.54667,0.27321,0.9176,0.99826,1,0.9949,0.88877,0.50944,0.22429,0.88953,0.000697521,0.000697521,0.000697521
49,4356.17,0.54091,0.26995,0.90981,0.99806,1,0.9947,0.8947,0.50887,0.21959,0.88454,0.000693022,0.000693022,0.000693022
50,4422.07,0.54599,0.27239,0.91092,0.99746,1,0.99429,0.88335,0.51218,0.22735,0.8914,0.000688522,0.000688522,0.000688522
51,4488.37,0.53778,0.27076,0.91253,0.99813,1,0.99435,0.89339,0.51138,0.22239,0.88803,0.000684022,0.000684022,0.000684022
52,4554.73,0.54623,0.27737,0.91514,0.99782,1,0.99473,0.89138,0.51368,0.23236,0.88853,0.000679523,0.000679523,0.000679523
53,4618.24,0.54209,0.27244,0.91504,0.99815,1,0.99407,0.89251,0.50517,0.22177,0.88687,0.000675023,0.000675023,0.000675023
54,4690.39,0.54441,0.27023,0.9118,0.99816,1,0.99478,0.89321,0.51293,0.21646,0.89681,0.000670524,0.000670524,0.000670524
55,4760.22,0.54401,0.27288,0.91558,0.99823,1,0.99442,0.88918,0.50537,0.22067,0.89018,0.000666024,0.000666024,0.000666024
56,4828.73,0.53842,0.27313,0.91696,0.99771,0.99567,0.99456,0.89356,0.50939,0.22119,0.88867,0.000661525,0.000661525,0.000661525
57,4897.94,0.54026,0.26761,0.90985,0.99813,1,0.99486,0.88871,0.50405,0.2174,0.89126,0.000657025,0.000657025,0.000657025
58,4964.6,0.54909,0.27397,0.91485,0.99806,0.99977,0.99439,0.8914,0.50836,0.22929,0.8831,0.000652526,0.000652526,0.000652526
59,5134.1,0.53137,0.26497,0.9093,0.99819,1,0.99443,0.89192,0.50172,0.21623,0.89194,0.000648026,0.000648026,0.000648026
60,5199.42,0.5391,0.27071,0.91435,0.99822,1,0.99476,0.8959,0.50599,0.21491,0.88877,0.000643527,0.000643527,0.000643527
61,5262.89,0.53844,0.26641,0.91652,0.99812,1,0.99453,0.89452,0.50686,0.21431,0.89156,0.000639027,0.000639027,0.000639027
62,5327.69,0.53932,0.26604,0.90898,0.99817,1,0.99471,0.89553,0.50575,0.21135,0.88524,0.000634527,0.000634527,0.000634527
63,5392.11,0.54222,0.26735,0.91452,0.9982,1,0.99466,0.89301,0.50501,0.21603,0.88708,0.000630028,0.000630028,0.000630028
64,5461.6,0.54234,0.26559,0.91515,0.99824,1,0.9945,0.8931,0.50652,0.21576,0.89075,0.000625528,0.000625528,0.000625528
65,5529.25,0.54218,0.26339,0.91331,0.99764,1,0.99401,0.89566,0.51197,0.21644,0.88969,0.000621029,0.000621029,0.000621029
66,5598.25,0.53528,0.26238,0.90838,0.9981,1,0.99446,0.89407,0.5044,0.21181,0.88754,0.000616529,0.000616529,0.000616529
67,5667.31,0.53413,0.26461,0.90978,0.99817,1,0.99475,0.8987,0.50549,0.21579,0.88657,0.00061203,0.00061203,0.00061203
68,5737.83,0.53342,0.26442,0.91628,0.99782,1,0.99435,0.88645,0.51093,0.2179,0.89792,0.00060753,0.00060753,0.00060753
69,5809.03,0.5409,0.26087,0.91649,0.99821,1,0.99467,0.89136,0.50894,0.21032,0.88734,0.000603031,0.000603031,0.000603031
70,5877.45,0.52834,0.26027,0.90929,0.99818,1,0.99463,0.89425,0.50243,0.21118,0.88984,0.000598531,0.000598531,0.000598531
71,5945.59,0.53673,0.25877,0.91355,0.99823,1,0.99457,0.89517,0.50401,0.20751,0.88746,0.000594031,0.000594031,0.000594031
